map_index,original_name,corrected_name,family,doubtful,identified_by_sight,spp,has_map,map
368,Jynx torquilla,,Picidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_102_1
369,Campethera punctuligera,,Picidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_102_2
370,Campethera abingoni,,Picidae,FALSE,TRUE,FALSE,TRUE,oiseaux_de_senegambie_Page_102_3
371,Campethera maculosa,,Picidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_102_4
372,Campethera nivosa,,Picidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_102_5
373,Dendropicas fuscescens,,Picidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_103_1
374,Dendropicos elachus,,Picidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_103_2
375,Dendropicos obsoletus,,Picidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_103_3
376,Mesopicos goertae,Dendropicos goertae,Picidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_103_4
377,Mirafra javanica,,Alaudidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_103_5
378,Mirafra cordofanica,,Alaudidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_103_6
379,Mirafra rufocinnameomea,,Alaudidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_104_1
380,Mirafra nigricans,Pinarocorys erythropygia,Alaudidae,FALSE,TRUE,FALSE,TRUE,oiseaux_de_senegambie_Page_104_2
381,Alaemon alaudipes,,Alaudidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_104_3
382,Calandrella brachydactyla,,Alaudidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_104_4
383,Eremopterix nigriceps,,Alaudidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_104_5
384,Eremopterix leucotis,,Alaudidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_105_1
385,Galerida cristata,,Alaudidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_105_2
386,Galerida modesta,,Alaudidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_105_3
387,Riparia riparia,,Hirundinidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_105_4
388,Riparia paludicola,,Hirundinidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_105_5
389,Riparia cincta,,Hirundinidae,FALSE,TRUE,FALSE,TRUE,oiseaux_de_senegambie_Page_105_6
390,Hirundo rustica rustica,,Hirundinidae,FALSE,FALSE,TRUE,TRUE,oiseaux_de_senegambie_Page_106_1
390,Hirundo rustica lucida,Hirundo lucida,Hirundinidae,FALSE,FALSE,TRUE,TRUE,oiseaux_de_senegambie_Page_106_2
391,Hirundo smithii,,Hirundinidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_106_3
392,Hirundo aethiopica,,Hirundinidae,FALSE,TRUE,FALSE,TRUE,oiseaux_de_senegambie_Page_106_4
393,Hirundo leucosoma,,Hirundinidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_107_1
394,Hirundo semiruja,,Hirundinidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_107_2
395,Hirundo senegalensis,,Hirundinidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_107_3
396,Hirundo daurica,,Hirundinidae,FALSE,FALSE,TRUE,TRUE,oiseaux_de_senegambie_Page_107_4
397,Hirundo abyssinica,,Hirundinidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_108_1
398,Hirundo griseopyga,,Hirundinidae,FALSE,TRUE,FALSE,TRUE,oiseaux_de_senegambie_Page_108_2
,Hirundo fuliginosa,,Hirundinidae,TRUE,TRUE,FALSE,FALSE,
399,Hirundo rupestris,,Hirundinidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_108_3
400,Hirundo fuliguia,,Hirundinidae,FALSE,TRUE,FALSE,TRUE,oiseaux_de_senegambie_Page_108_4
401,Delichon urbica,,Hirundinidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_109_1
402,Psalidoprocne obscura,,Hirundinidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_109_2
403,Motacilla flava,,Motacillidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_109_3
404,Motacilla cinerea,,Motacillidae,FALSE,FALSE,FALSE,TRUE,oiseaux_de_senegambie_Page_109_4
